정답여부,문제번호,문제이름
true,1000,A+B
true,1001,A-B
true,1002,터렛
true,1003,피보나치 함수
true,1008,A/B
true,1009,분산처리
true,1010,다리 놓기
true,1012,유기농 배추
true,1018,체스판 다시 칠하기
true,1021,회전하는 큐
true,1026,보물
true,1052,물병
true,1062,가르침
true,1065,한수
true,1085,직사각형에서 탈출
true,1107,리모컨
true,1110,더하기 사이클
true,1113,수영장 만들기
true,1120,문자열
true,1145,적어도 대부분의 배수
true,1149,RGB거리
true,1152,단어의 개수
true,1157,단어 공부
true,1159,농구 경기
true,1173,운동
true,1181,단어 정렬
true,1182,부분수열의 합
true,1193,분수찾기
true,1194,"달이 차오른다, 가자."
true,1213,팰린드롬 만들기
true,1236,성 지키기
true,1237,정ㅋ벅ㅋ
true,1238,파티
true,1260,DFS와 BFS
true,1261,알고스팟
true,1292,쉽게 푸는 문제
true,1296,데이트
true,1309,동물원
true,1325,효율적인 해킹
true,1326,폴짝폴짝
true,1331,나이트 투어
true,1333,부재중 전화
true,1339,단어 수학
true,1347,미로 만들기
true,1350,진짜 공간
true,1371,가장 많은 글자
true,1389,케빈 베이컨의 6단계 법칙
true,1405,미친 로봇
true,1427,소트인사이드
true,1445,일요일 아침의 데이트
true,1451,직사각형으로 나누기
true,1453,피시방 알바
true,1461,도서관
true,1463,1로 만들기
true,1476,날짜 계산
true,1504,특정한 최단 경로
true,1520,내리막 길
true,1525,퍼즐
true,1546,평균
true,1547,공
true,1551,수열의 변화
true,1592,영식이와 친구들
true,1600,말이 되고픈 원숭이
true,1614,영식이의 손가락
true,1620,나는야 포켓몬 마스터 이다솜
true,1644,소수의 연속합
true,1647,도시 분할 계획
true,1652,누울 자리를 찾아라
true,1654,랜선 자르기
true,1655,가운데를 말해요
true,1673,치킨 쿠폰
true,1697,숨바꼭질
true,1699,제곱수의 합
true,1707,이분 그래프
true,1726,로봇
true,1743,음식물 피하기
true,1744,수 묶기
true,1748,수 이어 쓰기 1
true,1753,최단경로
true,1756,피자 굽기
true,1759,암호 만들기
true,1766,문제집
true,1795,정상 회담
true,1806,부분합
true,1850,최대공약수
true,1904,01타일
true,1912,연속합
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1927,최소 힙
true,1929,소수 구하기
true,1932,정수 삼각형
true,1934,최소공배수
true,1937,욕심쟁이 판다
true,1938,통나무 옮기기
true,1947,선물 전달
true,1952,달팽이2
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1977,완전제곱수
true,1978,소수 찾기
true,1986,체스
true,1987,알파벳
true,1996,지뢰 찾기
true,2003,수들의 합 2
true,2010,플러그
true,2042,구간 합 구하기
true,2056,작업
true,2072,오목
true,2110,공유기 설치
true,2118,두 개의 탑
true,2133,타일 채우기
true,2140,지뢰찾기
true,2146,다리 만들기
true,2151,거울 설치
true,2156,포도주 시식
true,2161,카드1
true,2163,초콜릿 자르기
true,2164,카드2
true,2167,2차원 배열의 합
true,2174,로봇 시뮬레이션
true,2178,미로 탐색
true,2186,문자판
true,2193,이친수
true,2194,유닛 이동시키기
true,2206,벽 부수고 이동하기
true,2210,숫자판 점프
true,2239,스도쿠
true,2246,콘도 선정
true,2251,물통
true,2252,줄 세우기
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2302,극장 좌석
true,2309,일곱 난쟁이
true,2312,수 복원하기
true,2331,반복수열
true,2420,사파리월드
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2460,지능형 기차 2
true,2467,용액
true,2468,안전 영역
true,2475,검증수
true,2476,주사위 게임
true,2480,주사위 세개
true,2482,색상환
true,2490,윷놀이
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2506,점수계산
true,2511,카드놀이
true,2512,예산
true,2522,별 찍기 - 12
true,2526,싸이클
true,2529,부등호
true,2548,대표 자연수
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2562,최댓값
true,2563,색종이
true,2566,최댓값
true,2573,빙산
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2583,영역 구하기
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2592,대표값
true,2606,바이러스
true,2609,최대공약수와 최소공배수
true,2615,오목
true,2617,구슬 찾기
true,2636,치즈
true,2638,치즈
true,2660,회장뽑기
true,2661,좋은수열
true,2665,미로만들기
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2675,문자열 반복
true,2688,줄어들지 않아
true,2697,다음수 구하기
true,2702,초6 수학
true,2711,오타맨 고창영
true,2739,구구단
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2783,삼각 김밥
true,2789,유학 금지
true,2805,나무 자르기
true,2822,점수 계산
true,2823,유턴 싫어
true,2839,설탕 배달
true,2841,외계인의 기타 연주
true,2846,오르막길
true,2851,슈퍼 마리오
true,2857,FBI
true,2858,기숙사 바닥
true,2863,이게 분수?
true,2875,대회 or 인턴
true,2879,코딩은 예쁘게
true,2884,알람 시계
true,2903,중앙 이동 알고리즘
true,2908,상수
true,2914,저작권
true,2920,음계
true,2921,도미노
true,2931,가스관
true,2935,소음
true,2947,나무 조각
true,2953,나는 요리사다
true,2959,거북이
true,2979,트럭 주차
true,2980,도로와 신호등
true,3003,"킹, 퀸, 룩, 비숍, 나이트, 폰"
true,3004,체스판 조각
true,3040,백설 공주와 일곱 난쟁이
true,3046,R2
true,3048,개미
true,3049,다각형의 대각선
true,3052,나머지
true,3053,택시 기하학
true,3055,탈출
true,3058,짝수를 찾아라
true,3076,상근이의 체스판
true,3085,사탕 게임
true,3108,로고
true,3190,뱀
true,3425,고스택
true,3460,이진수
true,3709,레이저빔은 어디로
true,3986,좋은 단어
true,3987,보이저 1호
true,4101,크냐?
true,4179,불!
true,4213,그릇 쌓기
true,4344,평균은 넘겠지
true,4504,배수 찾기
true,4592,중복을 없애자
true,4673,셀프 넘버
true,4920,테트리스 게임
true,4963,섬의 개수
true,5014,스타트링크
true,5052,전화번호 목록
true,5086,배수와 약수
true,5218,알파벳 거리
true,5338,마이크로소프트 로고
true,5354,J박스
true,5355,화성 수학
true,5397,키로거
true,5427,불
true,5522,카드 게임
true,5543,상근날드
true,5549,행성 탐사
true,5558,チーズ
true,5565,영수증
true,5566,주사위 게임
true,5582,공통 부분 문자열
true,5586,JOI와 IOI
true,5596,시험 점수
true,5598,카이사르 암호
true,5622,다이얼
true,5635,생일
true,5717,상근이의 친구들
true,5988,홀수일까 짝수일까
true,6064,카잉 달력
true,6324,URLs
true,6359,만취한 상범
true,6443,애너그램
true,6497,전력난
true,6603,로또
true,6996,애너그램
true,7287,등록
true,7453,합이 0인 네 정수
true,7562,나이트의 이동
true,7567,그릇
true,7568,덩치
true,7569,토마토
true,7576,토마토
true,7983,내일 할거야
true,8393,합
true,8892,팰린드롬
true,8958,OX퀴즈
true,8979,올림픽
true,9012,괄호
true,9085,더하기
true,9086,문자열
true,9094,수학적 호기심
true,9095,"1, 2, 3 더하기"
true,9184,신나는 함수 실행
true,9251,LCS
true,9252,LCS 2
true,9295,주사위
true,9316,Hello Judge
true,9325,얼마?
true,9328,열쇠
true,9372,상근이의 여행
true,9440,숫자 더하기
true,9455,박스
true,9461,파도반 수열
true,9465,스티커
true,9466,텀 프로젝트
true,9498,시험 성적
true,9507,Generations of Tribbles
true,9517,아이 러브 크로아티아
true,9536,여우는 어떻게 울지?
true,9575,행운의 수
true,9610,사분면
true,9625,BABBA
true,9653,스타워즈 로고
true,9655,돌 게임
true,9663,N-Queen
true,9935,문자열 폭발
true,9971,The Hardest Problem Ever
true,10026,적록색약
true,10039,평균 점수
true,10101,삼각형 외우기
true,10102,개표
true,10103,주사위 게임
true,10156,과자
true,10157,자리배정
true,10162,전자레인지
true,10172,개
true,10173,니모를 찾아서
true,10178,할로윈의 사탕
true,10430,나머지
true,10448,유레카 이론
true,10474,분수좋아해?
true,10597,순열장난
true,10610,30
true,10707,수도요금
true,10711,모래성
true,10718,We love kriii
true,10768,특별한 날
true,10769,행복한지 슬픈지
true,10797,10부제
true,10798,세로읽기
true,10801,카드게임
true,10804,카드 역배치
true,10807,개수 세기
true,10809,알파벳 찾기
true,10814,나이순 정렬
true,10815,숫자 카드
true,10817,세 수
true,10818,"최소, 최대"
true,10819,차이를 최대로
true,10825,국영수
true,10828,스택
true,10829,이진수 변환
true,10833,사과
true,10844,쉬운 계단 수
true,10845,큐
true,10868,최솟값
true,10869,사칙연산
true,10870,피보나치 수 5
true,10871,X보다 작은 수
true,10872,팩토리얼
true,10886,0 = not cute / 1 = cute
true,10950,A+B - 3
true,10952,A+B - 5
true,10953,A+B - 6
true,10971,외판원 순회 2
true,10974,모든 순열
true,10987,모음의 개수
true,10988,팰린드롬인지 확인하기
true,10989,수 정렬하기 3
true,10991,별 찍기 - 16
true,10995,별 찍기 - 20
true,10996,별 찍기 - 21
true,10998,A×B
true,11021,A+B - 7
true,11022,A+B - 8
true,11048,이동하기
true,11052,카드 구매하기
true,11053,가장 긴 증가하는 부분 수열
true,11057,오르막 수
true,11098,첼시를 도와줘!
true,11279,최대 힙
true,11399,ATM
true,11403,경로 찾기
true,11404,플로이드
true,11437,LCA
true,11441,합 구하기
true,11507,카드셋트
true,11557,Yangjojang of The Year
true,11559,Puyo Puyo
true,11586,지영 공주님의 마법 거울
true,11651,좌표 정렬하기 2
true,11654,아스키 코드
true,11660,구간 합 구하기 5
true,11718,그대로 출력하기
true,11719,그대로 출력하기 2
true,11720,숫자의 합
true,11721,열 개씩 끊어 출력하기
true,11723,집합
true,11724,연결 요소의 개수
true,11726,2×n 타일링
true,11727,2×n 타일링 2
true,11728,배열 합치기
true,11779,최소비용 구하기 2
true,11811,데스스타
true,11899,괄호 끼워넣기
true,11942,고려대는 사랑입니다
true,11945,뜨거운 붕어빵
true,11947,이런 반전이
true,12018,Yonsei TOTO
true,12100,2048 (Easy)
true,12101,"1, 2, 3 더하기 2"
true,12759,틱! 택! 토!
true,12761,돌다리
true,12789,도키도키 간식드리미
true,12813,이진수 연산
true,12851,숨바꼭질 2
true,13301,타일 장식물
true,13413,오셀로 재배치
true,13416,주식 투자
true,13458,시험 감독
true,13459,구슬 탈출
true,13460,구슬 탈출 2
true,13549,숨바꼭질 3
true,13565,침투
true,13699,점화식
true,13908,비밀번호
true,14226,이모티콘
true,14430,자원 캐기
true,14442,벽 부수고 이동하기 2
true,14499,주사위 굴리기
true,14500,테트로미노
true,14501,퇴사
true,14502,연구소
true,14503,로봇 청소기
true,14620,꽃길
true,14627,파닭파닭
true,14652,나는 행복합니다~
true,14719,빗물
true,14846,직사각형과 쿼리
true,14888,연산자 끼워넣기
true,14889,스타트와 링크
true,14890,경사로
true,14925,목장 건설하기
false,1091,카드 섞기
false,1248,맞춰봐
false,2065,나룻배
false,2096,내려가기
false,2098,외판원 순회
false,2456,나는 학급회장이다
false,2896,무알콜 칵테일
false,4577,소코반
false,6593,상범 빌딩
false,7831,Fire Drill
false,9613,GCD 합
false,10158,개미
false,10816,숫자 카드 2
false,10942,팰린드롬?
false,11005,진법 변환 2
false,11657,타임머신
false,12847,꿀 아르바이트
